prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
三重,2006,28103,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,0,0.0
京,2006,54932,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,0,-0.0
佐賀,2006,9660,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,0,-0.0
兵庫,2006,113320,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,0,-0.0
千葉,2006,115700,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,0,-0.0
和歌山,2006,16026,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,0,0.0
埼玉,2006,136651,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,0,-0.0
大分,2006,11823,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,0,0.0
大阪,2006,232451,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,0,-0.0
奈良,2006,18895,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,0,0.0
宮城,2006,31698,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,0,-0.0
宮崎,2006,11352,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,0,0.0
富山,2006,11364,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,0,0.0
山口,2006,16328,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,0,0.0
山形,2006,9214,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,0,0.0
山梨,2006,9547,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,0,0.0
岐阜,2006,32864,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,0,0.0
岡山,2006,31632,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,0,0.0
岩手,2006,10090,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,0,0.0
島根,2006,6782,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,0,0.0
広島,2006,35022,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,0,0.0
徳島,2006,9111,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,0,0.0
愛媛,2006,19001,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,0,0.0
愛知,2006,157382,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,0,-0.0
新潟,2006,26126,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,0,0.0
東京,2006,244611,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,0,-0.0
栃木,2006,33059,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,0,-0.0
沖縄,2006,17423,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,0,-0.0
滋賀,2006,17969,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,0,-0.0
熊本,2006,20054,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,0,0.0
石川,2006,12524,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,0,-0.0
神奈川,2006,122703,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,0,-0.0
福井,2006,7422,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,0,0.0
福岡,2006,102101,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,0,-0.0
福島,2006,22395,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,0,-0.0
秋田,2006,7571,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,0,-0.0
群馬,2006,32060,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,0,0.0
茨城,2006,47183,8.279642799800818,2936184.0,-1.909969577434242,14.892621337052569,0,-0.0
長崎,2006,11148,37.30671146027262,1365391.0,0.28389288857024414,14.126951392469568,0,0.0
長野,2006,22902,56.24581769386356,2101891.0,1.7153083301896734,14.558347973698664,0,0.0
青森,2006,13018,25.077956956509244,1292709.0,-0.6403549514579032,14.072250574420002,0,-0.0
静岡,2006,50221,36.26075695912359,3624152.0,0.20483976928837402,15.103130887870297,0,0.0
香川,2006,14640,31.986803916123705,987336.0,-0.11818510353564957,13.80276568601591,0,-0.0
高知,2006,10952,63.17883649415797,717480.0,2.239305083013082,13.48350035166295,0,0.0
鳥取,2006,6838,37.65155750378689,566052.0,0.3099563123442864,13.246441225756794,0,0.0
鹿児島,2006,13565,34.11404146783006,1643437.0,0.04259126267452362,14.312300338525404,0,0.0
三重,2007,25964,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,1,0.09849758707071035
京,2007,52960,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,1,-0.17237715329049316
佐賀,2007,10112,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,1,-0.46367448199050065
