prefecture,year,crime_count
三重,2006,28103
京,2006,54932
佐賀,2006,9660
兵庫,2006,113320
北海道,2006,65417
千葉,2006,115700
和歌山,2006,16026
埼玉,2006,136651
大分,2006,11823
大阪,2006,232451
奈良,2006,18895
宮城,2006,31698
宮崎,2006,11352
富山,2006,11364
山口,2006,16328
山形,2006,9214
山梨,2006,9547
岐阜,2006,32864
岡山,2006,31632
岩手,2006,10090
島根,2006,6782
広島,2006,35022
徳島,2006,9111
愛媛,2006,19001
愛知,2006,157382
新潟,2006,26126
東京,2006,244611
栃木,2006,33059
沖縄,2006,17423
滋賀,2006,17969
熊本,2006,20054
石川,2006,12524
神奈川,2006,122703
福井,2006,7422
福岡,2006,102101
福島,2006,22395
秋田,2006,7571
群馬,2006,32060
茨城,2006,47183
長崎,2006,11148
長野,2006,22902
青森,2006,13018
静岡,2006,50221
香川,2006,14640
高知,2006,10952
鳥取,2006,6838
鹿児島,2006,13565
三重,2007,25964
京,2007,52960
佐賀,2007,10112
兵庫,2007,107378
北海道,2007,60880
千葉,2007,105185
和歌山,2007,15147
埼玉,2007,126453
大分,2007,11567
大阪,2007,216303
奈良,2007,18299
宮城,2007,29216
宮崎,2007,11498
富山,2007,10648
山口,2007,15196
山形,2007,8708
山梨,2007,8435
岐阜,2007,31252
岡山,2007,29257
岩手,2007,9102
島根,2007,6001
広島,2007,32696
徳島,2007,8518
愛媛,2007,18626
愛知,2007,143948
新潟,2007,25024
東京,2007,228805
栃木,2007,30358
沖縄,2007,15717
滋賀,2007,16553
熊本,2007,19553
石川,2007,10669
神奈川,2007,112529
福井,2007,7193
福岡,2007,95207
福島,2007,19855
秋田,2007,6699
群馬,2007,27769
茨城,2007,46087
長崎,2007,10730
長野,2007,21422
青森,2007,11784
静岡,2007,45472
香川,2007,13010
高知,2007,11165
鳥取,2007,6261
鹿児島,2007,13625
三重,2008,25348
京,2008,50259
佐賀,2008,8683
兵庫,2008,97527
北海道,2008,59733
千葉,2008,100827
和歌山,2008,14302
埼玉,2008,122108
大分,2008,9840
大阪,2008,210293
奈良,2008,18835
宮城,2008,28583
宮崎,2008,11105
富山,2008,10112
山口,2008,14000
山形,2008,7924
山梨,2008,7890
岐阜,2008,29799
岡山,2008,27357
岩手,2008,9111
島根,2008,5802
広島,2008,30129
徳島,2008,8451
愛媛,2008,17829
愛知,2008,144694
新潟,2008,23435
東京,2008,212152
栃木,2008,28550
沖縄,2008,15353
滋賀,2008,15455
熊本,2008,17429
石川,2008,9689
神奈川,2008,113556
福井,2008,6740
福岡,2008,90356
福島,2008,19582
秋田,2008,6134
群馬,2008,26730
茨城,2008,43885
長崎,2008,10323
長野,2008,21105
青森,2008,11015
静岡,2008,42946
香川,2008,11425
高知,2008,10439
鳥取,2008,6005
鹿児島,2008,13655
三重,2009,25540
京,2009,44538
佐賀,2009,8271
兵庫,2009,90670
北海道,2009,52139
千葉,2009,96400
和歌山,2009,13962
埼玉,2009,113632
大分,2009,9495
大阪,2009,193325
奈良,2009,15478
宮城,2009,25859
宮崎,2009,9602
富山,2009,8740
山口,2009,13025
山形,2009,8003
山梨,2009,8134
岐阜,2009,27928
岡山,2009,25862
岩手,2009,8240
島根,2009,5157
広島,2009,28853
徳島,2009,7389
愛媛,2009,16827
愛知,2009,145807
新潟,2009,22189
東京,2009,205708
栃木,2009,25990
沖縄,2009,13738
滋賀,2009,15258
熊本,2009,17015
石川,2009,8812
神奈川,2009,98216
福井,2009,6369
福岡,2009,86057
福島,2009,19527
秋田,2009,5740
群馬,2009,24110
茨城,2009,42491
長崎,2009,9199
長野,2009,20164
青森,2009,9987
