year,경찰서,살인,강도,절도,폭력,total,lat,lon,tri,province,pop,density,elevation,grdp_per_capita,median_age,young_male_ratio
2019,서울중부서,1,4,1198,1135,2338,37.563626,126.9898061,197.5911741708568,서울,127000.0,12751.0,57.0,125.0,47.2,0.105
2019,서울종로서,2,5,816,1250,2073,37.5755363,126.9848812,223.4923501602416,서울,143000.0,5981.0,41.0,98.0,46.5,0.108
2019,서울남대문서,1,2,1004,787,1794,37.5490098,126.9685671,165.8704076812609,서울,127000.0,12751.0,39.0,125.0,47.2,0.105
2019,서울서대문서,2,5,1226,1535,2768,37.5490098,126.9685671,165.8704076812609,서울,302000.0,17149.0,39.0,47.2,43.5,0.128
2019,서울혜화서,2,2,699,832,1535,37.5784461,127.013384,236.81538822914493,서울,143000.0,5981.0,62.0,98.0,46.5,0.108
2019,서울용산서,3,3,999,2036,3041,37.5491151,126.9784616,150.9268583394046,서울,222000.0,10151.0,50.0,52.0,44.8,0.118
2019,서울성북서,2,0,442,737,1181,37.5897183,127.0162484,248.9368541101422,서울,420000.0,17094.0,36.0,32.0,43.5,0.125
2019,서울동대문서,6,10,1531,1977,3524,37.5851376,127.0457718,228.9470505707563,서울,335000.0,23575.0,40.0,35.0,44.2,0.122
2019,서울마포서,2,2,2190,2153,4347,37.564346,126.908555,148.20619764434454,서울,369000.0,15479.0,25.0,48.0,41.2,0.142
2019,서울영등포서,10,3,2409,3042,5464,37.5135448,126.8976623,144.71113800938326,서울,375000.0,15275.0,21.0,65.0,43.8,0.122
2019,서울성동서,6,9,970,1394,2379,37.561716,127.036215,187.3297511284865,서울,289000.0,17151.0,29.0,45.0,42.5,0.128
2019,서울동작서,4,1,1328,1816,3149,37.5131206,126.9427972,180.41711044325683,서울,380000.0,23242.0,28.0,35.0,42.5,0.128
2019,서울광진서,4,6,1875,1853,3738,37.5428639,127.0838896,173.9370039164907,서울,336000.0,19695.0,29.0,38.0,40.8,0.138
2019,서울서부서,1,0,624,844,1469,37.6020381,126.9212474,223.2793619880792,서울,462000.0,15549.0,26.0,47.2,43.5,0.128
2019,서울강북서,6,3,1229,2424,3662,37.616303,127.0303,353.6293818244432,서울,296000.0,12542.0,36.0,25.0,46.2,0.108
2019,서울금천서,6,10,1157,1779,2952,37.4571667,126.896652,175.5483103434138,서울,224000.0,17218.0,28.0,48.0,44.5,0.118
2019,서울중랑서,10,4,1666,2450,4130,37.6185399,127.1044858,210.2562659693244,서울,381000.0,20595.0,48.0,28.0,44.8,0.118
2019,서울강남서,3,3,2003,2186,4195,37.509338,127.0670851,175.9560659247199,서울,524000.0,13249.0,27.0,95.0,42.8,0.128
2019,서울관악서,13,10,2223,2674,4920,37.4744307,126.9512477,204.19495812018664,서울,480000.0,16233.0,86.0,28.0,39.8,0.148
2019,서울강서서,8,3,2050,2557,4618,37.5623742,126.8083173,68.0501696679672,서울,565000.0,13638.0,17.0,47.2,43.5,0.128
2019,서울강동서,6,15,1650,2163,3834,37.5298016,127.1243425,214.27634921428736,서울,440000.0,17893.0,26.0,35.0,42.2,0.128
2019,서울종암서,1,3,640,876,1520,37.6099756,127.0514688,255.8185167732829,서울,420000.0,17094.0,30.0,32.0,43.5,0.125
2019,서울구로서,10,3,1916,2552,4481,37.494911,126.8866503,161.30605696059283,서울,394000.0,19582.0,21.0,42.0,43.2,0.125
2019,서울서초서,4,7,1867,2149,4027,37.4955822,127.0053169,200.0576470308616,서울,407000.0,8665.0,53.0,47.2,43.5,0.128
2019,서울양천서,6,2,1477,1602,3087,37.5166702,126.8656467,110.57174941321227,서울,430000.0,24713.0,18.0,32.0,43.5,0.122
2019,서울송파서,7,10,2416,2992,5425,37.5020332,127.1270483,237.83270658364023,서울,653000.0,19278.0,41.0,52.0,41.5,0.132
2019,서울노원서,4,3,1498,2464,3969,37.6423826,127.0714121,318.26239099226154,서울,498000.0,14051.0,38.0,24.0,44.2,0.118
2019,서울방배서,1,0,403,495,899,37.4813806,126.9829974,221.68128114076703,서울,407000.0,8665.0,21.0,85.0,43.2,0.125
2019,서울은평서,2,1,941,1273,2217,37.6283978,126.9284728,289.4387970874776,서울,462000.0,15549.0,65.0,28.0,45.5,0.112
2019,서울도봉서,1,5,790,1224,2020,37.653659,127.0525779,392.94086000708586,서울,310000.0,14976.0,33.0,26.0,45.8,0.105
2019,서울수서서,2,2,967,1472,2443,37.4935909,127.0771583,211.25146987236965,서울,524000.0,13249.0,22.0,47.2,43.5,0.128
2019,부산중부서,3,4,700,822,1529,35.1072303,129.0358104,211.5009703085985,부산,41000.0,14539.0,24.0,85.0,49.5,0.092
2019,부산동래서,4,6,938,1468,2416,35.1299725,129.0492088,301.46180236591255,부산,263000.0,15824.0,12.0,35.0,45.8,0.112
2019,부산영도서,4,5,350,662,1021,35.093763,129.0366899,258.5032712831074,부산,103000.0,7290.0,6.0,32.0,52.8,0.078
2019,부산동부서,0,10,696,934,1640,35.1299725,129.0492088,301.46180236591255,부산,81000.0,8325.0,12.0,42.0,50.2,0.088
2019,부산진서,7,16,2424,3304,5751,35.1628,129.0542,398.15766423969,부산,347000.0,11684.0,24.0,45.0,46.2,0.108
2019,부산서부서,1,4,606,596,1207,35.107429,129.018802,226.917363500233,부산,101000.0,7271.0,27.0,29.8,46.8,0.108
2019,부산남부서,8,5,1541,2238,3792,35.1530548,129.0896248,328.72954012843485,부산,259000.0,9660.0,110.0,38.0,47.5,0.102
2019,부산해운대서,3,5,1305,2014,3327,35.1631,129.1635,205.2653246273656,부산,399000.0,7756.0,11.0,42.0,43.5,0.125
2019,부산사상서,8,3,1023,1446,2480,35.1525,128.9831,260.52682366864786,부산,203000.0,5630.0,5.0,45.0,46.2,0.108
2019,부산금정서,10,11,1036,1188,2245,35.243,129.0919,521.3686039413033,부산,226000.0,3468.0,24.0,28.0,45.2,0.118
2019,부산사하서,10,4,1025,1535,2574,35.0856519,128.9783168,137.25565729308963,부산,293000.0,7034.0,12.0,32.0,46.8,0.105
2019,부산연제서,3,5,1068,1646,2722,35.182575,129.1045776,425.3693863197201,부산,199000.0,16473.0,36.0,35.0,44.5,0.118
2019,부산강서서,1,0,474,525,1000,35.1164699,128.9062654,162.49684889089667,부산,137000.0,755.0,7.0,29.8,46.8,0.108
2019,부산북부서,1,3,807,1614,2425,35.2301141,129.0093531,451.20972646680303,부산,282000.0,7363.0,17.0,28.0,44.8,0.115
2019,부산기장서,0,1,497,656,1154,35.2447,129.2225,227.74489694523032,부산,192000.0,880.0,31.0,38.0,43.8,0.122
2019,대구중부서,1,4,1484,1528,3017,35.8718293,128.5904944,276.65847434628535,대구,213909.0909090909,2664.779161947905,47.0,26.5,45.2,0.112
2019,대구동부서,8,5,1237,1801,3051,35.873552,128.720647,346.8277116592932,대구,213909.0909090909,2664.779161947905,55.0,26.5,45.2,0.112
2019,대구서부서,0,5,693,1368,2066,35.871516,128.5582208,236.4714407095362,대구,213909.0909090909,2664.779161947905,33.0,26.5,45.2,0.112
2019,대구남부서,4,2,724,1107,1837,35.8429297,128.5835917,336.7933285862411,대구,213909.0909090909,2664.779161947905,81.0,26.5,45.2,0.112
2019,대구북부서,1,3,750,1221,1975,35.8861304,128.5829092,264.48238015224024,대구,213909.0909090909,2664.779161947905,32.0,26.5,45.2,0.112
2019,대구수성서,6,3,1101,1547,2657,35.8581928,128.6317649,370.573929120097,대구,213909.0909090909,2664.779161947905,59.0,26.5,45.2,0.112
2019,대구달서서,4,0,895,1207,2106,35.8285,128.5328,321.6088435923253,대구,213909.0909090909,2664.779161947905,51.0,26.5,45.2,0.112
2019,대구성서서,6,6,1154,1586,2752,35.853031,128.508901,239.63792626375127,대구,213909.0909090909,2664.779161947905,38.0,26.5,45.2,0.112
2019,대구달성서,6,2,636,899,1543,35.853031,128.508901,239.63792626375127,대구,213909.0909090909,2664.779161947905,38.0,26.5,45.2,0.112
2019,대구강북서,5,0,579,1117,1701,35.943408,128.5656383,292.1299794697976,대구,213909.0909090909,2664.779161947905,45.0,26.5,45.2,0.112
2019,인천중부서,3,6,985,1581,2575,37.5306712,126.3387889,43.23144476746159,인천,298900.0,2811.8532455315144,9.0,31.2,42.8,0.125
2019,인천미추홀서,8,10,1748,3331,5097,37.4427187,126.6536509,52.662867998139646,인천,298900.0,2811.8532455315144,10.0,31.2,42.8,0.125
2019,인천남동서,6,8,1079,2207,3300,37.4418873,126.7074578,66.6015050305295,인천,298900.0,2811.8532455315144,16.0,31.2,42.8,0.125
2019,인천부평서,4,11,1053,1920,2988,37.5081882,126.7191237,127.92429617937304,인천,298900.0,2811.8532455315144,14.0,31.2,42.8,0.125
2019,인천서부서,6,5,1325,3335,4671,37.5444258,126.6784138,86.74025431092818,인천,298900.0,2811.8532455315144,35.0,31.2,42.8,0.125
2019,인천계양서,5,5,732,1867,2609,37.5375,126.7375,108.16332744290212,인천,298900.0,2811.8532455315144,9.0,31.2,42.8,0.125
2019,인천강화서,2,0,169,343,514,37.747,126.4878,231.71184512167807,인천,298900.0,2811.8532455315144,15.0,31.2,42.8,0.125
2019,인천연수서,8,7,1018,1555,2588,37.4103056,126.6807106,65.08103603249323,인천,298900.0,2811.8532455315144,15.0,31.2,42.8,0.125
2019,인천삼산서,2,4,1333,2316,3655,37.5110261,126.7323711,119.6635862148686,인천,298900.0,2811.8532455315144,13.0,31.2,42.8,0.125
2019,인천논현서,4,4,607,1174,1789,37.4036421,126.7154145,84.42063923352931,인천,298900.0,2811.8532455315144,15.0,31.2,42.8,0.125
2019,광주동부서,3,4,602,972,1581,35.1492,126.9198514,300.8896469215418,광주,286200.0,2856.2874251497005,52.0,28.4,42.5,0.127
2019,광주서부서,4,4,1190,2253,3451,35.1508087,126.8420112,130.29734357836753,광주,286200.0,2856.2874251497005,18.0,28.4,42.5,0.127
